,Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,xG,xGA
0,1,Manchester City,37,28,6,3,96,24,72,90,86.1,26.8
1,2,Liverpool,37,27,8,2,91,25,66,89,86.1,33.2
2,3,Chelsea,37,20,11,6,74,32,42,71,64.9,35.0
3,4,Tottenham,37,21,5,11,64,40,24,68,61.5,39.0
4,5,Arsenal,37,21,3,13,56,47,9,66,56.9,46.1
5,6,Manchester Utd,37,16,10,11,57,56,1,58,53.9,54.3
6,7,West Ham,37,16,8,13,59,48,11,56,49.8,49.4
7,8,Wolves,37,15,6,16,37,40,-3,51,34.8,57.0
8,9,Leicester City,37,13,10,14,58,58,0,49,48.5,59.9
9,10,Brighton,37,11,15,11,39,43,-4,48,44.3,45.3
10,11,Brentford,37,13,7,17,47,54,-7,46,46.7,47.8
11,12,Newcastle Utd,37,12,10,15,42,61,-19,46,38.6,54.1
12,13,Crystal Palace,37,10,15,12,49,46,3,45,44.6,39.3
13,14,Aston Villa,37,13,6,18,50,51,-1,45,43.7,46.1
14,15,Southampton,37,9,13,15,42,63,-21,40,45.7,56.2
15,16,Everton,37,11,6,20,42,61,-19,39,40.9,50.0
16,17,Burnley,37,7,14,16,33,51,-18,35,37.4,54.9
17,18,Leeds United,37,8,11,18,40,78,-38,35,45.8,69.1
18,19,Watford,37,6,5,26,33,75,-42,23,37.8,64.1
19,20,Norwich City,37,5,7,25,23,79,-56,22,33.0,73.3
