,Équipe,BE,BE90,TCC,Arrêts,Arrêts%,CS,PénT,Pc,Pa,Pm,Arrêts%
0,Arsenal,48,1.26,141,93,69.5,13,6,5,0,1,0.0
1,Aston Villa,54,1.42,145,96,65.5,11,6,4,1,1,20.0
2,Brentford,56,1.47,173,123,70.5,9,5,5,0,0,0.0
3,Brighton,44,1.16,145,103,71.7,11,4,3,0,1,0.0
4,Burnley,53,1.39,172,123,72.1,9,5,5,0,0,0.0
5,Chelsea,33,0.87,108,81,75.0,16,6,6,0,0,0.0
6,Crystal Palace,46,1.21,141,100,69.5,12,4,3,1,0,25.0
7,Everton,66,1.74,184,125,65.2,8,2,2,0,0,0.0
8,Leeds United,79,2.08,219,143,66.2,5,5,5,0,0,0.0
9,Leicester City,59,1.55,181,129,71.3,7,10,7,2,1,22.2
10,Liverpool,26,0.68,105,78,75.2,21,0,0,0,0,
11,Manchester City,26,0.68,85,58,70.6,21,1,1,0,0,0.0
12,Manchester Utd,57,1.5,177,124,69.5,8,6,3,3,0,50.0
13,Newcastle Utd,62,1.63,162,105,64.8,8,6,5,1,0,16.7
14,Norwich City,84,2.21,212,135,64.6,6,13,9,2,2,18.2
15,Southampton,67,1.76,180,116,63.9,8,2,2,0,0,0.0
16,Tottenham,40,1.05,133,95,71.4,16,2,2,0,0,0.0
17,Watford,77,2.03,180,108,60.6,4,7,6,1,0,14.3
18,West Ham,51,1.34,159,107,69.2,8,6,2,3,1,60.0
19,Wolves,43,1.13,157,124,78.3,11,10,9,0,1,0.0
